zip_code,amount_stores
75082,318
77002,384
77003,380
77004,371
77005,375
77006,380
77007,391
77008,392
77009,385
77010,382
77011,374
77012,348
77013,339
77014,270
77015,254
77016,363
77017,334
77018,393
77019,388
77020,383
77021,350
77022,395
77023,357
77024,376
77025,361
77026,381
77027,381
77028,366
77029,357
77030,363
77031,319
77032,280
77033,340
77034,221
77035,345
77036,347
77037,382
77038,351
77039,349
77040,340
77041,315
77042,341
77043,329
77044,254
77045,342
77046,381
77047,319
77048,323
77049,234
77050,312
77051,341
77053,287
77054,354
77055,385
77056,381
77057,379
77058,142
77059,162
77060,335
77061,332
77062,163
77063,370
77064,301
77065,276
77066,292
77067,314
77069,251
77070,248
77071,334
77072,305
77073,240
77074,354
77075,301
77076,389
77077,309
77078,328
77079,315
77080,364
77081,368
77082,293
77083,255
77084,272
77085,323
77086,332
77087,351
77088,375
77089,241
77090,224
77091,388
77092,388
77093,377
77094,248
77095,265
77096,360
77098,385
77099,291
77336,74
77338,194
77339,157
77345,135
77346,193
77357,70
77365,135
77373,184
77375,136
77377,128
77379,197
77380,142
77396,261
77401,368
77417,9
77433,229
77449,220
77450,190
77459,228
77461,11
77469,133
77471,78
77477,275
77478,239
77479,176
77484,10
77489,283
77493,100
77494,147
77502,279
77504,248
77506,292
77520,121
77521,106
77530,202
77532,132
77536,191
77545,241
77546,147
77562,169
77571,146
77573,116
77581,253
77584,228
77587,300
77598,144
77701,15
78414,18
78418,20
78501,66
nan,0
